well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba2962_A6,235947.52284965783,609561.3454434009,27,13837.548984953448,False,11
ba2962_A7,230988.64418091107,2474825.681607149,27,83105.07546023103,False,11
ba2962_A8,224725.51249243913,0.0,21,-10701.214880592339,False,5
ba2962_A9,233733.00990991615,2724288.1414618883,27,92242.78265007304,False,11
ba2962_B1,279911.7183895607,2472664.7378703086,27,81213.07479558326,False,11
ba2962_B10,248174.89490958137,1612784.3422620695,27,50541.09064268474,False,11
ba2962_B11,194048.3945909865,1302815.4577757923,27,41065.44678462244,False,11
ba2962_B12,358737.51026920107,2715352.3470906285,27,87282.0309933862,False,11
ba2962_B2,244941.43429817937,933975.4574318022,27,25519.778634578623,False,11
ba2962_B3,250049.7586254363,1025455.4089580562,27,28718.727790097033,True,14
ba2962_B4,255484.14620762455,1708469.373492446,27,53814.26767721561,False,11
ba2962_B5,241110.19105273666,1316151.0114671062,27,39816.326682013685,True,14
ba2962_B6,249098.74079855336,1220037.6850816803,27,35960.70164011581,False,11
ba2962_B7,252264.27156517803,1509954.569127004,27,46581.12213191948,False,11
ba2962_B8,272317.1617434526,874676.04641904,27,22309.58832131805,True,14
ba2962_B9,229697.97713014137,1591330.6485864085,27,50430.83968356545,False,11
ba2962_C1,265062.25432123133,1726263.0903885933,27,54118.54948397637,False,11
ba2962_C10,228393.7241104162,851625.9798927397,27,23082.676140086052,False,11
ba2962_C11,209753.77470351054,1613952.4199576592,27,52007.357231635135,False,11
ba2962_C2,232469.51479705737,679003.564446199,27,16538.298135153393,False,11
ba2962_C3,249044.39692273148,388716.7891306054,27,5173.05156325459,False,11
ba2962_C4,246204.92941103815,842982.2049453771,27,22102.862056827365,False,11
ba2962_C5,263907.4469600163,1334061.5361328125,27,39635.33663602948,False,11
ba2962_C6,232809.16402094412,4054837.9684424596,27,141556.62238598207,False,11
ba2962_C7,234453.06626455608,1659682.6617399896,27,52786.28131390495,False,11
ba2962_C8,242835.60911008142,323888.477025386,27,3001.9580709372067,True,13
ba2962_C9,247237.4630516539,1910585.7507526225,27,61605.492137072906,False,11
ba2962_D10,210555.3468718833,2014603.0695448709,27,66816.58232122177,False,11
ba2962_D11,194252.18412531857,2257699.505958647,27,76423.97488271586,False,11
ba2962_D12,381263.04679737135,4417917.66979525,27,149505.7267776992,True,14
ba2962_D2,250566.0254457442,881003.1339368166,27,23349.522536706387,False,11
ba2962_D3,249411.2180845292,763377.70999095,27,19035.795996534103,False,11
ba2962_D4,291310.34634320054,750840.3427249556,27,17019.62949562056,False,11
ba2962_D5,266189.8897445354,2086907.0789018634,27,67433.96996878993,True,15
ba2962_D6,248215.65281644778,1603206.1051582354,27,50184.83156821435,False,11
ba2962_D7,228108.4187623513,1040426.2714231955,27,30085.84639484608,True,14
ba2962_D8,249519.90583617295,0.0,21,-11881.900277912999,False,6
ba2962_D9,217212.4716600639,962826.9765128638,27,27615.352031585182,False,11
ba2962_E1,258119.82418498586,4400280.18193401,27,153413.3465832972,False,11
ba2962_E10,232673.30433138943,1230978.6794970357,27,36974.27315428319,False,11
ba2962_E11,196860.69016476892,1764303.4873416258,27,58053.43693247619,False,11
ba2962_E12,412415.6736122654,7467483.752477473,27,261298.81773574842,False,11
ba2962_E2,257060.11860645915,861282.0888429466,27,22378.591490240276,False,11
ba2962_E3,246789.1260761234,663799.0864419418,27,15444.813346882163,True,13
ba2962_E4,258079.06627811943,1660227.764664598,27,51931.43327357328,False,11
ba2962_E5,226179.21117067448,1878580.421893469,21,78685.77193918069,False,9
ba2962_E6,239833.10997092244,1755445.5648167385,27,56133.794623919115,False,11
ba2962_E7,241789.4895005102,1208162.2285098534,27,35791.58292627197,False,11
ba2962_E8,224929.30202677118,1535749.6182379394,27,48548.90060041364,False,11
ba2962_E9,234086.24510275837,615499.0737293144,27,14126.401060242813,False,11
ba2962_F1,257861.69077483192,1404282.4735993368,27,42460.02899350018,False,11
ba2962_F11,200624.00356543428,1695075.4159163525,27,55350.05230929326,False,11
ba2962_F12,372472.92488318187,517341.6113766068,27,5365.506907163886,False,11
ba2962_F2,241028.67523900385,3106133.6293384666,27,106114.9982999801,False,11
ba2962_F3,265306.8017624298,1331647.5088952607,27,39494.100264178924,False,11
ba2962_F4,290807.6654918481,0.0,21,-13847.984071040384,False,6
ba2962_F5,234439.4802956006,3602777.8608847,27,124753.27335515183,False,11
ba2962_F6,231898.9041009276,1212133.6926748578,27,36304.99216940482,False,11
ba2962_F7,277004.32103309,705986.1592143173,27,15888.216228934345,False,11
ba2962_G1,291283.1744052896,1828742.4402149823,27,56942.93577072936,False,11
ba2962_G10,237903.9023792456,2132384.237183483,27,70165.93832608286,False,11
ba2962_G11,159023.76662378333,1769773.9845493035,27,59657.41547872297,False,11
ba2962_G12,445117.1008880831,5703574.886416994,25,210338.31142115645,False,10
ba2962_G2,252318.6154409999,1215073.3548754246,27,35657.58294201573,False,11
ba2962_G3,232795.57805198865,1531116.2433787675,27,48085.950567658474,False,11
ba2962_G4,231912.49006988306,858420.2984887521,27,23203.992904402556,False,11
ba2962_G5,258513.8172846945,1136442.2580006556,27,32515.868174665226,False,11
ba2962_G6,251775.17668278108,1035637.1528712783,27,29031.92504401842,False,11
ba2962_G7,297804.43950391543,1264074.214205406,27,35787.76943338854,False,11
ba2962_G8,227673.66775577626,1142516.262017721,27,33883.059046738694,False,11
ba2962_G9,226138.45326380807,533597.3593068946,27,11387.366890484687,False,11
ba2962_H1,254655.40210134085,1499402.9339435117,27,46101.76043859892,False,11
